order_date,region,category,product,customer_name,quantity,unit_price,revenue,cost,profit
2023-01-01,North,Clothing,Hat,Customer_004,1,539.0,539.0,369.45,169.55
2023-01-01,South,Clothing,Hat,Customer_062,1,379.51,379.51,236.57,142.94
2023-01-01,North,Electronics,Laptop,Customer_026,7,380.9,2666.3,1847.94,818.36
2023-01-01,East,Clothing,Sneakers,Customer_041,11,669.97,7369.67,4898.42,2471.25
2023-01-01,North,Toys,Action Figure,Customer_015,5,261.94,1309.7,1022.28,287.42
2023-01-01,West,Clothing,Sneakers,Customer_032,9,599.88,5398.92,4237.66,1161.26
2023-01-01,West,Electronics,Laptop,Customer_076,1,757.23,757.23,397.41,359.82
2023-01-01,West,Furniture,Sofa,Customer_027,3,708.2,2124.6,1589.87,534.73
2023-01-01,North,Toys,Board Game,Customer_064,10,301.84,3018.4,2211.01,807.39
2023-01-01,South,Toys,Board Game,Customer_035,10,45.74,457.4,322.42,134.98
2023-01-02,North,Electronics,Laptop,Customer_077,1,660.49,660.49,401.14,259.35
2023-01-02,West,Electronics,Tablet,Customer_076,5,241.23,1206.15,657.36,548.79
2023-01-02,West,Toys,Action Figure,Customer_009,7,677.09,4739.63,2917.47,1822.16
2023-01-02,North,Electronics,Headphones,Customer_090,6,295.78,1774.68,1101.45,673.23
2023-01-02,North,Clothing,Jacket,Customer_001,11,507.23,5579.53,4069.68,1509.85
2023-01-02,South,Groceries,Rice,Customer_071,4,576.99,2307.96,1348.03,959.93
2023-01-02,East,Electronics,Headphones,Customer_018,3,271.09,813.27,422.37,390.9
2023-01-03,North,Toys,Puzzle,Customer_105,6,695.18,4171.08,2247.07,1924.01
2023-01-03,North,Furniture,Office Chair,Customer_102,6,93.95,563.7,369.18,194.52
2023-01-03,West,Toys,Action Figure,Customer_018,5,38.46,192.3,97.18,95.12
2023-01-03,East,Clothing,Sneakers,Customer_040,7,541.46,3790.22,2091.26,1698.96
2023-01-03,East,Furniture,Office Chair,Customer_064,6,570.11,3420.66,2461.26,959.4
2023-01-03,East,Toys,Building Blocks,Customer_097,6,558.87,3353.22,2406.26,946.96
2023-01-03,East,Clothing,Sneakers,Customer_060,4,41.03,164.12,99.29,64.83
2023-01-03,West,Toys,Action Figure,Customer_048,2,385.95,771.9,391.89,380.01
2023-01-04,South,Electronics,Laptop,Customer_073,9,416.39,3747.51,2821.91,925.6
2023-01-04,South,Electronics,Tablet,Customer_022,3,791.54,2374.62,1523.9,850.72
2023-01-04,West,Furniture,Office Chair,Customer_006,3,331.86,995.58,708.07,287.51
2023-01-04,East,Electronics,Headphones,Customer_065,5,622.77,3113.85,1704.76,1409.09
2023-01-04,South,Electronics,Smartphone,Customer_057,2,447.63,895.26,601.15,294.11
2023-01-04,South,Clothing,T-Shirt,Customer_010,1,434.23,434.23,291.87,142.36
2023-01-05,South,Electronics,Monitor,Customer_021,8,759.44,6075.52,4582.46,1493.06
2023-01-05,West,Groceries,Snacks,Customer_081,7,690.14,4830.98,3768.87,1062.11
2023-01-05,East,Clothing,Sneakers,Customer_093,3,619.37,1858.11,1058.88,799.23
2023-01-05,East,Electronics,Tablet,Customer_115,4,123.28,493.12,385.05,108.07
2023-01-05,North,Furniture,Office Chair,Customer_102,11,712.69,7839.59,6013.35,1826.24
2023-01-05,South,Furniture,Sofa,Customer_070,11,526.85,5795.35,4586.12,1209.23
2023-01-05,East,Furniture,Office Chair,Customer_052,4,42.63,170.52,129.32,41.2
2023-01-05,East,Furniture,Bookshelf,Customer_118,1,782.01,782.01,588.91,193.1
2023-01-05,South,Electronics,Tablet,Customer_012,6,304.98,1829.88,1297.43,532.45
2023-01-05,West,Toys,Action Figure,Customer_007,9,666.96,6002.64,4414.26,1588.38
2023-01-05,North,Toys,Building Blocks,Customer_060,1,734.82,734.82,411.38,323.44
2023-01-05,North,Furniture,Bookshelf,Customer_079,10,25.21,252.1,134.21,117.89
2023-01-05,North,Groceries,Cereal,Customer_075,8,111.75,894.0,703.92,190.08
2023-01-05,East,Clothing,Jeans,Customer_017,3,668.69,2006.07,1327.39,678.68
2023-01-06,West,Electronics,Laptop,Customer_067,2,103.07,206.14,159.39,46.75
2023-01-06,South,Groceries,Olive Oil,Customer_069,1,398.78,398.78,250.56,148.22
2023-01-06,East,Toys,Action Figure,Customer_066,9,207.71,1869.39,1047.52,821.87
2023-01-06,West,Toys,Puzzle,Customer_099,2,333.65,667.3,479.25,188.05
2023-01-06,South,Furniture,Sofa,Customer_101,9,513.55,4621.95,3573.8,1048.15
2023-01-06,North,Groceries,Olive Oil,Customer_063,9,106.82,961.38,484.2,477.18
2023-01-06,East,Clothing,Jacket,Customer_016,8,115.45,923.6,563.32,360.28
2023-01-07,South,Furniture,Table,Customer_103,9,350.67,3156.03,2361.5,794.53
2023-01-07,West,Clothing,Sneakers,Customer_025,11,628.81,6916.91,4876.44,2040.47
2023-01-07,East,Clothing,Jacket,Customer_098,6,376.23,2257.38,1528.32,729.06
2023-01-08,South,Toys,Building Blocks,Customer_076,9,275.95,2483.55,1364.58,1118.97
2023-01-08,North,Toys,Building Blocks,Customer_045,1,76.81,76.81,44.43,32.38
2023-01-08,North,Groceries,Cereal,Customer_013,7,747.13,5229.91,3596.23,1633.68
2023-01-08,North,Electronics,Smartphone,Customer_011,9,675.15,6076.35,3366.84,2709.51
2023-01-08,East,Toys,Doll,Customer_071,2,222.4,444.8,235.83,208.97
2023-01-08,South,Electronics,Tablet,Customer_109,3,270.38,811.14,582.65,228.49
